Id,Numero,DataAjuizamento,IdClasse,IdAssunto,AnoEleicao
405277970,06000605820216070009,2021-10-0600:00:00.,{12560},{11778},0
405277971,06001037420216070015,2021-09-1313:54:23.,{355},{11778},0
405277973,00000917220176070008,2017-10-2600:00:00.,{12549},{11778},0
405277984,00000391320176070999,2017-03-2122:18:31.,{12559},{11778},0
405277986,06000079620206070014,2020-01-2321:09:18.,{355},{11778},0
405277992,06000360620216070017,2021-02-1000:00:00.,{12553},{11778},0
405277995,00000972420176070091,2017-08-1718:59:14.,{12559},{11778},0
405277996,06000997620216070002,2021-12-0916:33:10.,{355},{11778},0
405277997,00000114920196070005,2019-02-0811:55:22.,{12549},{11778},0
405278003,00000984920176070013,2017-08-2916:40:36.,{12549},{11778},0
405278005,00000410620186070010,2018-12-1715:07:07.,{12562},{11778},0
405278007,06000105420206070013,2020-05-2800:00:00.,{12560},{11778},2020
405278008,00000476120186070091,2018-04-2218:59:48.,{12553},{11778},0
405278013,00000358120176070091,2017-08-1020:51:23.,{12559},{11778},0
405278016,06001190720206070001,2020-10-0615:20:53.,{261},{11778},0
405278019,06000594620216070018,2021-10-1816:09:55.,{355},{11778},2018
405278020,06000974620206070001,2020-08-1400:00:00.,{279},{11778},0
405278021,00002833920176070999,2017-07-2817:52:20.,{12559},{11778},0
405278027,00001039420186070091,2018-05-2319:33:36.,{12553},{11778},0
405278031,00000781820176070091,2017-08-1617:40:56.,{12559},{11778},0
405278042,00000671620186070006,2018-11-0618:37:57.,{12549},{11778},0
405278054,00001131820176070013,2017-11-0814:36:36.,{12549},{11778},0
405278065,00000184520176070091,2017-08-0918:35:09.,{12559},{11778},0
405278066,06006323620216000000,2021-12-0914:20:03.,{12552},{11778},0
405278169,00000021120156070011,2015-02-0616:46:13.,{355},{11778},0
405278184,06001771320206070000,2020-11-2615:25:19.,{261},{11778},2018
405278192,00000972120176070092,2017-12-0416:27:43.,{12559},{11778},0
405278197,00001751020176070999,2017-06-0818:51:38.,{12559},{11778},0
405278199,00001681820176070999,2017-06-0818:12:41.,{12559},{11778},0
405278206,06000519620216070009,2021-09-1514:09:59.,{12560},{11778},0
405278208,00000599120186070021,2018-11-2815:42:35.,{261},{11778},0
405278215,00000036420186070019,2018-01-2415:57:51.,{12549},{11778},0
405278261,00002161620176070016,2017-12-1500:00:00.,{12549},{11778},0
405278264,06000288720206070009,2020-02-1814:25:03.,{241},{11778},0
405278265,00000733620176070013,2017-07-0514:26:34.,{12549},{11778},0
405278313,00000718120176070008,2017-08-2200:00:00.,{12549},{11778},0
405278317,00001024620176070091,2017-08-1719:28:31.,{12559},{11778},0
